candidate,office,district,party,county,precinct,mail,election_day,votes
John Thompson Parker,U.S. Senate,,PF,Kings,1505,0,0,0
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,1505,0,2,2
Herbert G Peters,U.S. Senate,,DEM,Kings,1505,0,1,1
James P Bradley,U.S. Senate,,REP,Kings,1505,0,33,33
Arun K Bhumitra,U.S. Senate,,REP,Kings,1505,0,30,30
Jerry Joseph Laws,U.S. Senate,,REP,Kings,1505,0,3,3
Patrick Little,U.S. Senate,,REP,Kings,1505,0,5,5
Tim Gildersleeve,U.S. Senate,,NON,Kings,1505,0,2,2
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,1505,0,0,0
Don J Grundmann,U.S. Senate,,NON,Kings,1505,0,1,1
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,1505,0,0,0
Ling Ling Shi,U.S. Senate,,NON,Kings,1505,0,1,1
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,1505,0,4,4
Erin Cruz,U.S. Senate,,REP,Kings,1505,0,21,21
Derrick Michael Reid,U.S. Senate,,LIB,Kings,1505,0,1,1
Dianne Feinstein,U.S. Senate,,DEM,Kings,1505,0,56,56
Colleen Shea Fernald,U.S. Senate,,NON,Kings,1505,0,0,0
Adrienne Nicole Edward,U.S. Senate,,DEM,Kings,1505,0,0,0
Paul A Taylor,U.S. Senate,,REP,Kings,1505,0,9,9
Donnie O Turner,U.S. Senate,,DEM,Kings,1505,0,1,1
Pat Harris,U.S. Senate,,DEM,Kings,1505,0,1,1
Alison Hartson,U.S. Senate,,DEM,Kings,1505,0,4,4
Jason M Hanania,U.S. Senate,,NON,Kings,1505,0,0,0
David Hildebrand,U.S. Senate,,DEM,Kings,1505,0,1,1
Lee Olson,U.S. Senate,,NON,Kings,1505,0,0,0
"Roque ""Rocky"" De La Fuente",U.S. Senate,,REP,Kings,1505,0,8,8
Kevin De Leon,U.S. Senate,,DEM,Kings,1505,0,2,2
Kevin Mottus,U.S. Senate,,REP,Kings,1505,0,8,8
David Moore,U.S. Senate,,NON,Kings,1505,0,0,0
Mario Nabliba,U.S. Senate,,REP,Kings,1505,0,7,7
Andy Vidak,State Senate,14,REP,Kings,1505,0,192,192
Ruben Macareno,State Senate,14,DEM,Kings,1505,0,8,8
Abigail Solis,State Senate,14,DEM,Kings,1505,0,23,23
Melissa Hurtado,State Senate,14,DEM,Kings,1505,0,21,21
Justin Mendes,State Assembly,32,REP,Kings,1505,0,175,175
Rudy Salas,State Assembly,32,DEM,Kings,1505,0,68,68
,Registered Voters,,,Kings,1506,,,296
,Ballots Cast,,,Kings,1506,0,80,80
Josh Jones,Governor,,GRN,Kings,1506,0,0,0
J Bribiesca,Governor,,DEM,Kings,1506,0,0,0
Gloria Estela La Riva,Governor,,PF,Kings,1506,0,0,0
Peter Y Liu,Governor,,REP,Kings,1506,0,0,0
Antonio Villaraigosa,Governor,,DEM,Kings,1506,0,8,8
Yvonne Girard,Governor,,REP,Kings,1506,0,1,1
Robert Davidson Griffis,Governor,,DEM,Kings,1506,0,0,0
Shubham Goel,Governor,,NON,Kings,1506,0,0,0
Travis Allen,Governor,,REP,Kings,1506,0,28,28
Akinyemi Agbede,Governor,,DEM,Kings,1506,0,0,0
Johnny Wattenburg,Governor,,NON,Kings,1506,0,0,0
Nickolas Wildstar,Governor,,LIB,Kings,1506,0,0,0
Desmond Silveira,Governor,,NON,Kings,1506,0,0,0
Michael Shellenberger,Governor,,DEM,Kings,1506,0,0,0
Zoltan Istvan,Governor,,LIB,Kings,1506,0,0,0
Christopher N Carlson,Governor,,GRN,Kings,1506,0,0,0
Thomas Jefferson Cares,Governor,,DEM,Kings,1506,0,0,0
John Chiang,Governor,,DEM,Kings,1506,0,3,3
John H Cox,Governor,,REP,Kings,1506,0,31,31
Amanda Renteria,Governor,,DEM,Kings,1506,0,1,1
Delaine Eastin,Governor,,DEM,Kings,1506,0,0,0
Jeffrey Edward Taylor,Governor,,NON,Kings,1506,0,0,0
Klement Tinaj,Governor,,DEM,Kings,1506,0,0,0
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,1506,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,1506,0,0,0
Gavin Newsom,Governor,,DEM,Kings,1506,0,5,5
"Robert C. Newman, II",Governor,,REP,Kings,1506,0,0,0
Jeff Bleich,Lieutenant Governor,,DEM,Kings,1506,0,2,2
Eleni Kounalakis,Lieutenant Governor,,DEM,Kings,1506,0,3,3
Cameron Gharabiklou,Lieutenant Governor,,DEM,Kings,1506,0,0,0
Tim Ferreira,Lieutenant Governor,,LIB,Kings,1506,0,0,0
David Fennell,Lieutenant Governor,,REP,Kings,1506,0,6,6
Danny Thomas,Lieutenant Governor,,NON,Kings,1506,0,0,0
Cole Harris,Lieutenant Governor,,REP,Kings,1506,0,28,28
Ed Hernandez,Lieutenant Governor,,DEM,Kings,1506,0,9,9
David R Hernandez,Lieutenant Governor,,REP,Kings,1506,0,12,12
Lydia Ortega,Lieutenant Governor,,REP,Kings,1506,0,9,9
Gayle McLaughlin,Lieutenant Governor,,NON,Kings,1506,0,1,1
Alex Padilla,Secretary of State,,DEM,Kings,1506,0,13,13
Gail K Lightfoot,Secretary of State,,LIB,Kings,1506,0,3,3
C T Weber,Secretary of State,,PF,Kings,1506,0,0,0
Erik Rydberg,Secretary of State,,GRN,Kings,1506,0,0,0
Raul Rodriguez Jr,Secretary of State,,REP,Kings,1506,0,4,4
Michael Feinstein,Secretary of State,,GRN,Kings,1506,0,0,0
Ruben Major,Secretary of State,,DEM,Kings,1506,0,4,4
Mark P Meuser,Secretary of State,,REP,Kings,1506,0,51,51
Konstantinos Roditis,Controller,,REP,Kings,1506,0,41,41
Mary Lou Finley,Controller,,PF,Kings,1506,0,1,1
Betty T Yee,Controller,,DEM,Kings,1506,0,26,26
Vivek Viswanathan,Treasurer,,DEM,Kings,1506,0,3,3
Jack M Guerrero,Treasurer,,REP,Kings,1506,0,23,23
Kevin Akin,Treasurer,,PF,Kings,1506,0,3,3
Greg Conlon,Treasurer,,REP,Kings,1506,0,30,30
Fiona Ma,Treasurer,,DEM,Kings,1506,0,11,11
Dave Jones,Attorney General,,DEM,Kings,1506,0,3,3
Steven C Bailey,Attorney General,,REP,Kings,1506,0,35,35
Xavier Becerra,Attorney General,,DEM,Kings,1506,0,15,15
Eric Early,Attorney General,,REP,Kings,1506,0,21,21
Steve Poizner,Insurance Commissioner,,NON,Kings,1506,0,38,38
Ricardo Lara,Insurance Commissioner,,DEM,Kings,1506,0,16,16
Nathalie Hrizi,Insurance Commissioner,,PF,Kings,1506,0,5,5
Asif Mahmood,Insurance Commissioner,,DEM,Kings,1506,0,2,2
Gerald Plummer,U.S. Senate,,DEM,Kings,1506,0,1,1
Tom Palzer,U.S. Senate,,REP,Kings,1506,0,2,2
John Thompson Parker,U.S. Senate,,PF,Kings,1506,0,0,0
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,1506,0,0,0
Herbert G Peters,U.S. Senate,,DEM,Kings,1506,0,0,0
James P Bradley,U.S. Senate,,REP,Kings,1506,0,17,17
Arun K Bhumitra,U.S. Senate,,REP,Kings,1506,0,1,1
Jerry Joseph Laws,U.S. Senate,,REP,Kings,1506,0,0,0
Patrick Little,U.S. Senate,,REP,Kings,1506,0,2,2
Tim Gildersleeve,U.S. Senate,,NON,Kings,1506,0,1,1
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,1506,0,0,0
Don J Grundmann,U.S. Senate,,NON,Kings,1506,0,0,0
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,1506,0,0,0
Ling Ling Shi,U.S. Senate,,NON,Kings,1506,0,0,0
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,1506,0,2,2
Erin Cruz,U.S. Senate,,REP,Kings,1506,0,4,4
Derrick Michael Reid,U.S. Senate,,LIB,Kings,1506,0,1,1
Dianne Feinstein,U.S. Senate,,DEM,Kings,1506,0,13,13
Colleen Shea Fernald,U.S. Senate,,NON,Kings,1506,0,0,0
Adrienne Nicole Edward,U.S. Senate,,DEM,Kings,1506,0,0,0
Paul A Taylor,U.S. Senate,,REP,Kings,1506,0,9,9
Donnie O Turner,U.S. Senate,,DEM,Kings,1506,0,2,2
Pat Harris,U.S. Senate,,DEM,Kings,1506,0,0,0
Alison Hartson,U.S. Senate,,DEM,Kings,1506,0,1,1
Jason M Hanania,U.S. Senate,,NON,Kings,1506,0,0,0
David Hildebrand,U.S. Senate,,DEM,Kings,1506,0,1,1
Lee Olson,U.S. Senate,,NON,Kings,1506,0,0,0
"Roque ""Rocky"" De La Fuente",U.S. Senate,,REP,Kings,1506,0,2,2
Kevin De Leon,U.S. Senate,,DEM,Kings,1506,0,2,2
Kevin Mottus,U.S. Senate,,REP,Kings,1506,0,0,0
David Moore,U.S. Senate,,NON,Kings,1506,0,0,0
Mario Nabliba,U.S. Senate,,REP,Kings,1506,0,10,10
Andy Vidak,State Senate,14,REP,Kings,1506,0,64,64
Ruben Macareno,State Senate,14,DEM,Kings,1506,0,2,2
Abigail Solis,State Senate,14,DEM,Kings,1506,0,2,2
Melissa Hurtado,State Senate,14,DEM,Kings,1506,0,12,12
Justin Mendes,State Assembly,32,REP,Kings,1506,0,63,63
Rudy Salas,State Assembly,32,DEM,Kings,1506,0,17,17
,Registered Voters,,,Kings,1507,,,178
,Ballots Cast,,,Kings,1507,0,56,56
Josh Jones,Governor,,GRN,Kings,1507,0,0,0
J Bribiesca,Governor,,DEM,Kings,1507,0,0,0
Gloria Estela La Riva,Governor,,PF,Kings,1507,0,0,0
Peter Y Liu,Governor,,REP,Kings,1507,0,0,0
Antonio Villaraigosa,Governor,,DEM,Kings,1507,0,6,6
Yvonne Girard,Governor,,REP,Kings,1507,0,0,0
Robert Davidson Griffis,Governor,,DEM,Kings,1507,0,1,1
Shubham Goel,Governor,,NON,Kings,1507,0,0,0
Travis Allen,Governor,,REP,Kings,1507,0,17,17
Akinyemi Agbede,Governor,,DEM,Kings,1507,0,0,0
Johnny Wattenburg,Governor,,NON,Kings,1507,0,0,0
Nickolas Wildstar,Governor,,LIB,Kings,1507,0,0,0
Desmond Silveira,Governor,,NON,Kings,1507,0,0,0
Michael Shellenberger,Governor,,DEM,Kings,1507,0,0,0
Zoltan Istvan,Governor,,LIB,Kings,1507,0,0,0
Christopher N Carlson,Governor,,GRN,Kings,1507,0,0,0
Thomas Jefferson Cares,Governor,,DEM,Kings,1507,0,0,0
John Chiang,Governor,,DEM,Kings,1507,0,1,1
John H Cox,Governor,,REP,Kings,1507,0,24,24
Amanda Renteria,Governor,,DEM,Kings,1507,0,0,0
Delaine Eastin,Governor,,DEM,Kings,1507,0,2,2
Jeffrey Edward Taylor,Governor,,NON,Kings,1507,0,0,0
Klement Tinaj,Governor,,DEM,Kings,1507,0,0,0
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,1507,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,1507,0,0,0
Gavin Newsom,Governor,,DEM,Kings,1507,0,5,5
"Robert C. Newman, II",Governor,,REP,Kings,1507,0,0,0
Jeff Bleich,Lieutenant Governor,,DEM,Kings,1507,0,4,4
Eleni Kounalakis,Lieutenant Governor,,DEM,Kings,1507,0,4,4
Cameron Gharabiklou,Lieutenant Governor,,DEM,Kings,1507,0,0,0
Tim Ferreira,Lieutenant Governor,,LIB,Kings,1507,0,0,0
David Fennell,Lieutenant Governor,,REP,Kings,1507,0,5,5
Danny Thomas,Lieutenant Governor,,NON,Kings,1507,0,0,0
Cole Harris,Lieutenant Governor,,REP,Kings,1507,0,19,19
Ed Hernandez,Lieutenant Governor,,DEM,Kings,1507,0,3,3
David R Hernandez,Lieutenant Governor,,REP,Kings,1507,0,6,6
Lydia Ortega,Lieutenant Governor,,REP,Kings,1507,0,10,10
Gayle McLaughlin,Lieutenant Governor,,NON,Kings,1507,0,1,1
Alex Padilla,Secretary of State,,DEM,Kings,1507,0,10,10
Gail K Lightfoot,Secretary of State,,LIB,Kings,1507,0,2,2
C T Weber,Secretary of State,,PF,Kings,1507,0,2,2
Erik Rydberg,Secretary of State,,GRN,Kings,1507,0,0,0
Raul Rodriguez Jr,Secretary of State,,REP,Kings,1507,0,2,2
Michael Feinstein,Secretary of State,,GRN,Kings,1507,0,0,0
Ruben Major,Secretary of State,,DEM,Kings,1507,0,1,1
Mark P Meuser,Secretary of State,,REP,Kings,1507,0,33,33
Konstantinos Roditis,Controller,,REP,Kings,1507,0,33,33
Mary Lou Finley,Controller,,PF,Kings,1507,0,4,4
Betty T Yee,Controller,,DEM,Kings,1507,0,13,13
Vivek Viswanathan,Treasurer,,DEM,Kings,1507,0,4,4
Jack M Guerrero,Treasurer,,REP,Kings,1507,0,20,20
Kevin Akin,Treasurer,,PF,Kings,1507,0,2,2
Greg Conlon,Treasurer,,REP,Kings,1507,0,18,18
Fiona Ma,Treasurer,,DEM,Kings,1507,0,7,7
Dave Jones,Attorney General,,DEM,Kings,1507,0,6,6
Steven C Bailey,Attorney General,,REP,Kings,1507,0,17,17
Xavier Becerra,Attorney General,,DEM,Kings,1507,0,8,8
Eric Early,Attorney General,,REP,Kings,1507,0,22,22
Steve Poizner,Insurance Commissioner,,NON,Kings,1507,0,32,32
Ricardo Lara,Insurance Commissioner,,DEM,Kings,1507,0,7,7
Nathalie Hrizi,Insurance Commissioner,,PF,Kings,1507,0,5,5
Asif Mahmood,Insurance Commissioner,,DEM,Kings,1507,0,5,5
Gerald Plummer,U.S. Senate,,DEM,Kings,1507,0,1,1
Tom Palzer,U.S. Senate,,REP,Kings,1507,0,9,9
John Thompson Parker,U.S. Senate,,PF,Kings,1507,0,0,0
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,1507,0,0,0
Herbert G Peters,U.S. Senate,,DEM,Kings,1507,0,0,0
James P Bradley,U.S. Senate,,REP,Kings,1507,0,6,6
Arun K Bhumitra,U.S. Senate,,REP,Kings,1507,0,1,1
Jerry Joseph Laws,U.S. Senate,,REP,Kings,1507,0,0,0
Patrick Little,U.S. Senate,,REP,Kings,1507,0,2,2
Tim Gildersleeve,U.S. Senate,,NON,Kings,1507,0,0,0
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,1507,0,0,0
Don J Grundmann,U.S. Senate,,NON,Kings,1507,0,0,0
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,1507,0,0,0
Ling Ling Shi,U.S. Senate,,NON,Kings,1507,0,0,0
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,1507,0,5,5
Erin Cruz,U.S. Senate,,REP,Kings,1507,0,7,7
Derrick Michael Reid,U.S. Senate,,LIB,Kings,1507,0,0,0
Dianne Feinstein,U.S. Senate,,DEM,Kings,1507,0,6,6
Colleen Shea Fernald,U.S. Senate,,NON,Kings,1507,0,0,0
Adrienne Nicole Edward,U.S. Senate,,DEM,Kings,1507,0,0,0
Paul A Taylor,U.S. Senate,,REP,Kings,1507,0,6,6
Donnie O Turner,U.S. Senate,,DEM,Kings,1507,0,0,0
Pat Harris,U.S. Senate,,DEM,Kings,1507,0,1,1
Alison Hartson,U.S. Senate,,DEM,Kings,1507,0,0,0
Jason M Hanania,U.S. Senate,,NON,Kings,1507,0,0,0
David Hildebrand,U.S. Senate,,DEM,Kings,1507,0,1,1
Lee Olson,U.S. Senate,,NON,Kings,1507,0,0,0
"Roque ""Rocky"" De La Fuente",U.S. Senate,,REP,Kings,1507,0,1,1
Kevin De Leon,U.S. Senate,,DEM,Kings,1507,0,2,2
Kevin Mottus,U.S. Senate,,REP,Kings,1507,0,1,1
David Moore,U.S. Senate,,NON,Kings,1507,0,0,0
Mario Nabliba,U.S. Senate,,REP,Kings,1507,0,1,1
Andy Vidak,State Senate,14,REP,Kings,1507,0,49,49
Ruben Macareno,State Senate,14,DEM,Kings,1507,0,2,2
Abigail Solis,State Senate,14,DEM,Kings,1507,0,2,2
Melissa Hurtado,State Senate,14,DEM,Kings,1507,0,2,2
Justin Mendes,State Assembly,32,REP,Kings,1507,0,39,39
Rudy Salas,State Assembly,32,DEM,Kings,1507,0,16,16
,Registered Voters,,,Kings,1508,,,140
,Ballots Cast,,,Kings,1508,0,30,30
Josh Jones,Governor,,GRN,Kings,1508,0,0,0
J Bribiesca,Governor,,DEM,Kings,1508,0,0,0
Gloria Estela La Riva,Governor,,PF,Kings,1508,0,0,0
Peter Y Liu,Governor,,REP,Kings,1508,0,0,0
Antonio Villaraigosa,Governor,,DEM,Kings,1508,0,4,4
Yvonne Girard,Governor,,REP,Kings,1508,0,0,0
Robert Davidson Griffis,Governor,,DEM,Kings,1508,0,0,0
Shubham Goel,Governor,,NON,Kings,1508,0,0,0
Travis Allen,Governor,,REP,Kings,1508,0,8,8
Akinyemi Agbede,Governor,,DEM,Kings,1508,0,0,0
Johnny Wattenburg,Governor,,NON,Kings,1508,0,0,0
Nickolas Wildstar,Governor,,LIB,Kings,1508,0,0,0
Desmond Silveira,Governor,,NON,Kings,1508,0,1,1
Michael Shellenberger,Governor,,DEM,Kings,1508,0,0,0
Zoltan Istvan,Governor,,LIB,Kings,1508,0,0,0
Christopher N Carlson,Governor,,GRN,Kings,1508,0,0,0
Thomas Jefferson Cares,Governor,,DEM,Kings,1508,0,0,0
John Chiang,Governor,,DEM,Kings,1508,0,0,0
John H Cox,Governor,,REP,Kings,1508,0,15,15
Amanda Renteria,Governor,,DEM,Kings,1508,0,0,0
Delaine Eastin,Governor,,DEM,Kings,1508,0,0,0
Jeffrey Edward Taylor,Governor,,NON,Kings,1508,0,0,0
Klement Tinaj,Governor,,DEM,Kings,1508,0,0,0
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,1508,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,1508,0,0,0
Gavin Newsom,Governor,,DEM,Kings,1508,0,1,1
"Robert C. Newman, II",Governor,,REP,Kings,1508,0,0,0
Jeff Bleich,Lieutenant Governor,,DEM,Kings,1508,0,1,1
Eleni Kounalakis,Lieutenant Governor,,DEM,Kings,1508,0,0,0
Cameron Gharabiklou,Lieutenant Governor,,DEM,Kings,1508,0,1,1
Tim Ferreira,Lieutenant Governor,,LIB,Kings,1508,0,1,1
David Fennell,Lieutenant Governor,,REP,Kings,1508,0,5,5
Danny Thomas,Lieutenant Governor,,NON,Kings,1508,0,1,1
Cole Harris,Lieutenant Governor,,REP,Kings,1508,0,13,13
Ed Hernandez,Lieutenant Governor,,DEM,Kings,1508,0,0,0
David R Hernandez,Lieutenant Governor,,REP,Kings,1508,0,3,3
Lydia Ortega,Lieutenant Governor,,REP,Kings,1508,0,1,1
Gayle McLaughlin,Lieutenant Governor,,NON,Kings,1508,0,0,0
Alex Padilla,Secretary of State,,DEM,Kings,1508,0,3,3
Gail K Lightfoot,Secretary of State,,LIB,Kings,1508,0,1,1
C T Weber,Secretary of State,,PF,Kings,1508,0,0,0
Erik Rydberg,Secretary of State,,GRN,Kings,1508,0,0,0
Raul Rodriguez Jr,Secretary of State,,REP,Kings,1508,0,1,1
Michael Feinstein,Secretary of State,,GRN,Kings,1508,0,0,0
Ruben Major,Secretary of State,,DEM,Kings,1508,0,0,0
Mark P Meuser,Secretary of State,,REP,Kings,1508,0,21,21
Konstantinos Roditis,Controller,,REP,Kings,1508,0,22,22
Mary Lou Finley,Controller,,PF,Kings,1508,0,1,1
Betty T Yee,Controller,,DEM,Kings,1508,0,3,3
Vivek Viswanathan,Treasurer,,DEM,Kings,1508,0,1,1
Jack M Guerrero,Treasurer,,REP,Kings,1508,0,7,7
Kevin Akin,Treasurer,,PF,Kings,1508,0,0,0
Greg Conlon,Treasurer,,REP,Kings,1508,0,18,18
Fiona Ma,Treasurer,,DEM,Kings,1508,0,1,1
Dave Jones,Attorney General,,DEM,Kings,1508,0,4,4
Steven C Bailey,Attorney General,,REP,Kings,1508,0,16,16
Xavier Becerra,Attorney General,,DEM,Kings,1508,0,1,1
Eric Early,Attorney General,,REP,Kings,1508,0,6,6
Steve Poizner,Insurance Commissioner,,NON,Kings,1508,0,21,21
Ricardo Lara,Insurance Commissioner,,DEM,Kings,1508,0,2,2
Nathalie Hrizi,Insurance Commissioner,,PF,Kings,1508,0,0,0
Asif Mahmood,Insurance Commissioner,,DEM,Kings,1508,0,1,1
Gerald Plummer,U.S. Senate,,DEM,Kings,1508,0,0,0
Tom Palzer,U.S. Senate,,REP,Kings,1508,0,3,3
John Thompson Parker,U.S. Senate,,PF,Kings,1508,0,0,0
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,1508,0,0,0
Herbert G Peters,U.S. Senate,,DEM,Kings,1508,0,0,0
James P Bradley,U.S. Senate,,REP,Kings,1508,0,2,2
Arun K Bhumitra,U.S. Senate,,REP,Kings,1508,0,5,5
Jerry Joseph Laws,U.S. Senate,,REP,Kings,1508,0,2,2
Patrick Little,U.S. Senate,,REP,Kings,1508,0,0,0
Tim Gildersleeve,U.S. Senate,,NON,Kings,1508,0,0,0
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,1508,0,0,0
Don J Grundmann,U.S. Senate,,NON,Kings,1508,0,0,0
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,1508,0,0,0
Ling Ling Shi,U.S. Senate,,NON,Kings,1508,0,0,0
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,1508,0,1,1
Erin Cruz,U.S. Senate,,REP,Kings,1508,0,3,3
Derrick Michael Reid,U.S. Senate,,LIB,Kings,1508,0,0,0
Dianne Feinstein,U.S. Senate,,DEM,Kings,1508,0,1,1
Colleen Shea Fernald,U.S. Senate,,NON,Kings,1508,0,0,0
Adrienne Nicole Edward,U.S. Senate,,DEM,Kings,1508,0,0,0
Paul A Taylor,U.S. Senate,,REP,Kings,1508,0,6,6
Donnie O Turner,U.S. Senate,,DEM,Kings,1508,0,0,0
Pat Harris,U.S. Senate,,DEM,Kings,1508,0,0,0
Alison Hartson,U.S. Senate,,DEM,Kings,1508,0,0,0
Jason M Hanania,U.S. Senate,,NON,Kings,1508,0,0,0
David Hildebrand,U.S. Senate,,DEM,Kings,1508,0,0,0
Lee Olson,U.S. Senate,,NON,Kings,1508,0,0,0
"Roque ""Rocky"" De La Fuente",U.S. Senate,,REP,Kings,1508,0,0,0
Kevin De Leon,U.S. Senate,,DEM,Kings,1508,0,2,2
Kevin Mottus,U.S. Senate,,REP,Kings,1508,0,0,0
David Moore,U.S. Senate,,NON,Kings,1508,0,0,0
Mario Nabliba,U.S. Senate,,REP,Kings,1508,0,1,1
Andy Vidak,State Senate,14,REP,Kings,1508,0,30,30
Ruben Macareno,State Senate,14,DEM,Kings,1508,0,1,1
Abigail Solis,State Senate,14,DEM,Kings,1508,0,0,0
Melissa Hurtado,State Senate,14,DEM,Kings,1508,0,0,0
Justin Mendes,State Assembly,32,REP,Kings,1508,0,27,27
Rudy Salas,State Assembly,32,DEM,Kings,1508,0,3,3
,Registered Voters,,,Kings,1509,,,642
,Ballots Cast,,,Kings,1509,0,152,152
Josh Jones,Governor,,GRN,Kings,1509,0,0,0
J Bribiesca,Governor,,DEM,Kings,1509,0,1,1
Gloria Estela La Riva,Governor,,PF,Kings,1509,0,0,0
Peter Y Liu,Governor,,REP,Kings,1509,0,0,0
Antonio Villaraigosa,Governor,,DEM,Kings,1509,0,15,15
Yvonne Girard,Governor,,REP,Kings,1509,0,0,0
Robert Davidson Griffis,Governor,,DEM,Kings,1509,0,0,0
Shubham Goel,Governor,,NON,Kings,1509,0,0,0
Travis Allen,Governor,,REP,Kings,1509,0,55,55
Akinyemi Agbede,Governor,,DEM,Kings,1509,0,0,0
Johnny Wattenburg,Governor,,NON,Kings,1509,0,0,0
Nickolas Wildstar,Governor,,LIB,Kings,1509,0,0,0
Desmond Silveira,Governor,,NON,Kings,1509,0,0,0
Michael Shellenberger,Governor,,DEM,Kings,1509,0,0,0
Zoltan Istvan,Governor,,LIB,Kings,1509,0,0,0
Christopher N Carlson,Governor,,GRN,Kings,1509,0,0,0
Thomas Jefferson Cares,Governor,,DEM,Kings,1509,0,0,0
John Chiang,Governor,,DEM,Kings,1509,0,6,6
John H Cox,Governor,,REP,Kings,1509,0,68,68
Amanda Renteria,Governor,,DEM,Kings,1509,0,1,1
Delaine Eastin,Governor,,DEM,Kings,1509,0,0,0
Jeffrey Edward Taylor,Governor,,NON,Kings,1509,0,0,0
Klement Tinaj,Governor,,DEM,Kings,1509,0,0,0
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,1509,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,1509,0,0,0
Gavin Newsom,Governor,,DEM,Kings,1509,0,5,5
"Robert C. Newman, II",Governor,,REP,Kings,1509,0,0,0
Jeff Bleich,Lieutenant Governor,,DEM,Kings,1509,0,0,0
Eleni Kounalakis,Lieutenant Governor,,DEM,Kings,1509,0,3,3
Cameron Gharabiklou,Lieutenant Governor,,DEM,Kings,1509,0,3,3
Tim Ferreira,Lieutenant Governor,,LIB,Kings,1509,0,1,1
David Fennell,Lieutenant Governor,,REP,Kings,1509,0,22,22
Danny Thomas,Lieutenant Governor,,NON,Kings,1509,0,2,2
Cole Harris,Lieutenant Governor,,REP,Kings,1509,0,51,51
Ed Hernandez,Lieutenant Governor,,DEM,Kings,1509,0,17,17
David R Hernandez,Lieutenant Governor,,REP,Kings,1509,0,15,15
Lydia Ortega,Lieutenant Governor,,REP,Kings,1509,0,23,23
Gayle McLaughlin,Lieutenant Governor,,NON,Kings,1509,0,2,2
Alex Padilla,Secretary of State,,DEM,Kings,1509,0,20,20
Gail K Lightfoot,Secretary of State,,LIB,Kings,1509,0,2,2
C T Weber,Secretary of State,,PF,Kings,1509,0,2,2
Erik Rydberg,Secretary of State,,GRN,Kings,1509,0,0,0
Raul Rodriguez Jr,Secretary of State,,REP,Kings,1509,0,10,10
Michael Feinstein,Secretary of State,,GRN,Kings,1509,0,0,0
Ruben Major,Secretary of State,,DEM,Kings,1509,0,1,1
Mark P Meuser,Secretary of State,,REP,Kings,1509,0,106,106
Konstantinos Roditis,Controller,,REP,Kings,1509,0,102,102
Mary Lou Finley,Controller,,PF,Kings,1509,0,7,7
Betty T Yee,Controller,,DEM,Kings,1509,0,29,29
Vivek Viswanathan,Treasurer,,DEM,Kings,1509,0,4,4
Jack M Guerrero,Treasurer,,REP,Kings,1509,0,57,57
Kevin Akin,Treasurer,,PF,Kings,1509,0,0,0
Greg Conlon,Treasurer,,REP,Kings,1509,0,68,68
Fiona Ma,Treasurer,,DEM,Kings,1509,0,11,11
Dave Jones,Attorney General,,DEM,Kings,1509,0,8,8
Steven C Bailey,Attorney General,,REP,Kings,1509,0,69,69
Xavier Becerra,Attorney General,,DEM,Kings,1509,0,13,13
Eric Early,Attorney General,,REP,Kings,1509,0,50,50
Steve Poizner,Insurance Commissioner,,NON,Kings,1509,0,101,101
Ricardo Lara,Insurance Commissioner,,DEM,Kings,1509,0,19,19
Nathalie Hrizi,Insurance Commissioner,,PF,Kings,1509,0,1,1
Asif Mahmood,Insurance Commissioner,,DEM,Kings,1509,0,5,5
Gerald Plummer,U.S. Senate,,DEM,Kings,1509,0,0,0
Tom Palzer,U.S. Senate,,REP,Kings,1509,0,18,18
John Thompson Parker,U.S. Senate,,PF,Kings,1509,0,0,0
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,1509,0,1,1
Herbert G Peters,U.S. Senate,,DEM,Kings,1509,0,1,1
James P Bradley,U.S. Senate,,REP,Kings,1509,0,27,27
Arun K Bhumitra,U.S. Senate,,REP,Kings,1509,0,22,22
Jerry Joseph Laws,U.S. Senate,,REP,Kings,1509,0,5,5
Patrick Little,U.S. Senate,,REP,Kings,1509,0,1,1
Tim Gildersleeve,U.S. Senate,,NON,Kings,1509,0,0,0
